Term,Definition
MPA effect size,"The annual rate of population change applied within all MPAs. Values are derived from stock assessment projections of population growth under no fishing scenarios (Table recovery-rates). In the simulation model they are modelled as a constant linear trend on the complementary log-log scale (i.g., not saturating or asymptotic). For example, $\lambda = 1.011$ would result in catch rates increase by $\sim$1.1% per year."
Conditioning model,"A spatiotemporal generalised mixed model (GLMM) fit to the historical HBLL survey data (2003 - 2024) used to inform the simulation model. It characterises the spatial patterns in catch rates (spatial random field), temporal variation (spatiotemporal autocorrelation), and observation error (dispersion)."
Operating model, "The data-generating process used to simulate future populations. In this model the MPA effect (recovery rate) is added inside protected areas as a linear rate of increase over the projection, while populations outside of the MPAs have no trend."
Monitoring model,"A spatiotemporal GLMM used to estimate the recovery trend inside MPAs, fit to the full time series of historical data (2003 - 2024) combined with the simulated data to detect if MPA recovery trends can be distinguished from background variation."
Implementation year,"The year when the MPA recovery begins in the simulated population. In this analysis it starts after the last sampled year of historical data within each survey region (2024 for HBLL OUT N and HBLL INS N; 2025 for HBLL OUT S)."
Significance level,"The probability of rejecting the null hypothesis when it is true: $\alpha = 0.05$."
Power,"The probability of detecting a significant MPA recovery trend when one exists. In this analysis it is the proportion of simulation replicates where the 95% confidence interval for the MPA effect size (recovery rate) excludes zero (among converged models)"
Type S (sign) error,"The probability that a statistically significant result has the incorrect sign (e.g., detects a negative trend when the true trend is positive)."
Type M (magnitude) error,"The expected exaggeration ratio for significant results; how much a significant effect is expected to be overestimated when power is low. Values > 1 indicate that detected effects are overestimates of the true recovery rate, e.g., Type M = 3 means that estimates are three times larger than the true effect."
Scenario,"The combination of species, MPA effect size, sampling effort, temporal autocorrelation, and evaluation time frame that we assessed power for."
Replicate,"A single simulated dataset representing one possible realisation of the population under each scenario."

